Door,17,Door 4,Door 4,HIGH,5.050000000000011,-8.549999999999997,true,3.450000000000003,-8.699999999999989
Door,18,Bathroom 2,Bathroom 2,LOW,5.150000000000006,-10.049999999999997,true,5.050000000000011,-11.299999999999997
Door,19,Door 6,Door 6,HIGH,11.600000000000009,-9.75,true,11.550000000000011,-11.549999999999997
Door,20,Door 2,Door 2,HIGH,1.3500000000000085,-7.199999999999989,true,0.15000000000000568,-7.199999999999989
Door,21,Door 1,Door 1,HIGH,1.9000000000000057,3.200000000000003,true,0.20000000000000284,3.1500000000000057
Door,23,Door 3,Door 3,LOW,4.8500000000000085,4.700000000000003,true,3.25,4.700000000000003
Door,24,Bathroom 1,Bathroom 1,HIGH,4.700000000000003,6.450000000000003,true,4.650000000000006,7.700000000000003
Door,25,Door 5,Door 5,HIGH,11.100000000000009,6.5,true,11.100000000000009,7.900000000000006
Waypoint,0,Base,0,0,1,1,0,true,LOW
Waypoint,1,Waypoint271460,3.3000000000000114,0.14999999999999147,3,0,2,3,0,false
Waypoint,2,Waypoint270410,3.4000000000000057,2.1000000000000085,2,1,8,1,21,false
Waypoint,3,Waypoint265581,3.25,-6.799999999999997,2,1,4,1,20,false
Waypoint,4,Waypoint324588,5.150000000000006,-6.199999999999989,2,3,6,2,17,18,false
Waypoint,6,Waypoint427601,11.600000000000009,-5.75,2,4,14,1,19,false
Waypoint,8,Waypoint332411,4.800000000000011,2.6000000000000085,2,2,11,2,23,24,false
Waypoint,11,Waypoint434411,11.400000000000006,2.700000000000003,2,8,12,1,25,false
Waypoint,12,Waypoint513410,14.550000000000011,3.200000000000003,3,11,13,14,0,false
Waypoint,13,End of Hallway 1,24.60000000000001,3.75,2,12,15,0,true,HIGH
Waypoint,14,Waypoint506608,14.700000000000003,-6,3,6,12,15,0,false
Waypoint,15,End of Hallway 2,24.900000000000006,-5.8999999999999915,2,14,13,0,true,HIGH
